date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:51:29	12848/12848	---M--	200	added ('OK')	font/woff2	etag:%226a3bef99-3230%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/bold.woff2	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:31	15000/15000	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb6-3a98%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:32	16048/16048	---M--	200	added ('OK')	font/woff	etag:%226a3bef99-3eb0%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/bold.woff	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:32	31388/31388	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3bef99-7a9c%22	http://cdn2.editmysite.com/fonts/Montserrat/bold.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Montserrat/bold.ttf	(from http://cdn2.editmysite.com/fonts/Montserrat/font.css?2)
00:51:33	23138/23138	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef9a-5a62%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/regular.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:34	19860/19860	---M--	200	added ('OK')	font/woff2	etag:%226a3b03b6-4d94%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/regular.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:35	23138/23138	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef9a-5a62%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/regulard41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:36	23764/23764	---M--	200	added ('OK')	font/woff	etag:%226a32dbb6-5cd4%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/regular.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:38	48460/48460	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3bef9a-bd4c%22	http://cdn2.editmysite.com/fonts/Playfair_Display/regular.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/regular.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:39	24721/24721	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3bef9a-6091%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bold.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:39	20968/20968	---M--	200	added ('OK')	font/woff2	etag:%226a3bef9a-51e8%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bold.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:40	24721/24721	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a3aa862-6091%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/boldd41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:42	25168/25168	---M--	200	added ('OK')	font/woff	etag:%226a303810-6250%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.woff	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bold.woff	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:43	48504/48504	---M-Z	200	added ('OK')	application/octet-stream	etag:%226a3bef9a-bd78%22	http://cdn2.editmysite.com/fonts/Playfair_Display/bold.ttf	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/bold.ttf	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:43	22559/22559	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb6-581f%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.eot	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/italic.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:43	19852/19852	---M--	200	added ('OK')	font/woff2	etag:%226a32dbb6-4d8c%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.woff2	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/italic.woff2	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
00:51:45	22559/22559	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%226a32dbb6-581f%22	http://cdn2.editmysite.com/fonts/Playfair_Display/italic.eot?	d:/My%20Websites/ruixiangfloor/cdn2.editmysite.com/fonts/Playfair_Display/italicd41d.eot	(from http://cdn2.editmysite.com/fonts/Playfair_Display/font.css?2)
